"Country Name","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"Lebanon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Liberia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.9,1.1,1.4,1.6,1.8,2,2.2,2.4,2.4,2.5,2.5,2.4,2.3,2.2,2.1,1.9,1.8,1.7,1.5,1.4
"Libya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Lucia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liechtenstein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sri Lanka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Lesotho",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,3.6,4.9,6.8,9,11.5,13.7,15.6,17.3,18.7,19.9,20.9,21.7,22.2,22.6,22.8,23,23.1,23.2,23.2,23.1
"Lithuania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luxembourg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latvia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Martin (French part)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morocco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Moldova",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5
"Madagascar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4
"Maldives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mali",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,2,2.1,2.2,2.2,2.2,2.1,2,1.9,1.8,1.7,1.6,1.5,1.5,1.4,1.4,1.3,1.3,1.3,1.3,1.3
"Malta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myanmar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8
"Montenegro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mongolia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Mozambique",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2,2.4,2.9,3.5,4.1,4.8,5.5,6.3,7.1,7.8,8.6,9.2,9.8,10.2,10.5,10.8,10.9,11.1,11.2,11.2
"Mauritania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7
"Mauritius",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.7,0.9,1,1.1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1
"Malawi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,10.4,12,13.3,14.5,15.4,16,16.5,16.7,16.7,16.6,16.3,15.8,15.2,14.5,13.9,13.2,12.6,12.1,11.6,11.2
"Malaysia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5
"Namibia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,2.2,3.3,4.8,6.8,9.1,11.4,13.5,15.1,16.3,17.1,17.4,17.4,17.2,16.8,16.3,15.9,15.5,15.3,15,14.7
"New Caledonia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1,0.9,0.8,0.8,0.7
"Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.6,1.9,2.2,2.5,2.9,3.2,3.5,3.7,3.8,3.9,4,4,4,3.9,3.8,3.8,3.7,3.6,3.5,3.5
"Nicaragua",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nepal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pakistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Panama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.5,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7
"Peru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3
"Philippines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Papua New Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8
"Poland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Puerto Rico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Peopleâ€™s Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portugal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paraguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"French Polynesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Qatar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Romania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Russian Federation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rwanda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,5.7,6.1,6.3,6.3,6.3,6.1,5.9,5.6,5.3,4.9,4.6,4.2,3.9,3.6,3.4,3.3,3.3,3.2,3.2,3.1
"Saudi Arabia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"Senegal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.7,0.7
"Singapore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solomon Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sierra Leone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.7,0.9,1.1,1.3,1.4,1.5,1.6,1.7,1.7,1.7,1.7,1.6
"El Salvador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6
"San Marino",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Somalia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"Serbia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.3,0.4,0.6,0.9,1.1,1.4,1.6,1.9,2.2,2.4,2.6,2.8,2.9,2.9,2.9,2.9,2.8,2.8,2.8,2.7
"Sao Tome and Principe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suriname",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.2,0.3,0.3,0.4,0.5,0.6,0.8,0.9,1,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.2
"Slovak Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Slovenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sweden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Swaziland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,4,6.5,9.4,12.6,15.7,18.5,20.9,22.7,24,24.8,25.4,25.6,25.7,25.7,25.7,25.8,26.1,26.4,26.7,27.2
"Sint Maarten (Dutch part)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seychelles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Syrian Arab Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.3,1.5,1.7,1.9,2.1,2.4,2.6,2.8,3,3.2,3.3,3.4,3.4,3.4,3.3,3.2,3.1,3,2.8,2.7
"Togo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.5,1.9,2.3,2.8,3.2,3.6,4,4.4,4.6,4.8,4.9,4.9,4.8,4.6,4.4,4.1,3.9,3.6,3.3,3.1
"Thailand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.9,1.3,1.6,1.8,1.9,2,1.9,1.9,1.8,1.7,1.7,1.6,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.3
"Tajikistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
"Turkmenistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Timor-Leste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tonga",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trinidad and Tobago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.2
"Tunisia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.8,6.4,7,7.4,7.7,7.9,8,7.9,7.8,7.7,7.5,7.3,7.1,6.8,6.5,6.3,6.1,6,5.8,5.6
"Uganda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,13.3,13.1,12.7,12.1,11.4,10.6,9.8,9,8.4,7.8,7.3,7,6.7,6.5,6.5,6.6,6.6,6.7,6.9,7
"Ukraine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.6,0.7,0.8,0.8,0.9,0.9,1,1,0.9,0.9,0.9,0.9
"Uruguay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uzbekistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3
"St. Vincent and the Grenadines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Virgin Islands (U.S.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5
"Vanuatu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Bank and Gaza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.6,2.6,3.9,5.7,7.9,10.3,12.8,15.1,17.1,18.7,19.9,20.6,21,21,20.8,20.4,19.9,19.5,19.2,18.9
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.8,1.8,1.7,1.6,1.5,1.4,1.3,1.2
"Zambia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,13.5,14.3,14.9,15.3,15.6,15.7,15.8,15.7,15.6,15.4,15.2,14.9,14.6,14.4,14.1,13.8,13.6,13.6,13.5,13.5
"Zimbabwe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,17.7,20.3,22.5,24.2,25.3,26,26,25.7,24.9,24,22.8,21.6,20.4,19.2,18.1,17.2,16.5,16,15.7,15.5
