"Libya",2014,
"New Caledonia",1995,2.10010884233
"Montenegro",1989,
"Ethiopia",2014,
"Hong Kong SAR, China",1966,7.29323962550998
"Samoa",1993,
"Greenland",1981,-0.113464447806848
"Panama",1963,8.42261614558375
"Estonia",1978,
"Burundi",1983,3.71532699143134
"Sierra Leone",1986,1.23604691069103
"Burkina Faso",1997,6.31683473498401
"Philippines",1967,5.32415018795579
"Colombia",1982,0.948480319271752
"Peru",1993,5.24357700773291
"Cuba",1995,11.2017130777526
"Congo, Dem. Rep.",1980,2.19491292367726
"Channel Islands",1988,
"Lithuania",1971,7.40644435525716
"Mongolia",1972,-3.16879154859038
"Malawi",1976,4.99773125871332
"Iceland",1998,6.52002185492562
"Bhutan",1977,5.37383851914481
"Burkina Faso",1955,
"Finland",2009,-8.26903655827105
"Estonia",2011,
"Honduras",2000,5.74814817447076
"Saudi Arabia",2008,
"Kuwait",1973,7.35933559294779
"Finland",2014,
"Angola",1953,
"Bangladesh",2002,3.83312394005608
"Bahamas, The",1965,10.4255964880827
"Bahrain",1961,-5.31669735282962
"Korea, Rep.",2011,
"Brazil",1950,
"Barbados",1961,-1.98265179677819
"Pakistan",1980,10.2157040372709
"Senegal",1956,
"St. Vincent and the Grenadines",1988,14.0742148096434
"Haiti",2007,
"Central African Republic",1993,0.335145802671306
"Belgium",2014,
"Papua New Guinea",1976,-3.38844860971126
"Israel",1979,6.28479865933519
"Belgium",1967,3.86814694690128
"Burundi",1990,3.49982214003694
"Jordan",1997,
"Malawi",1975,6.08682380782474
"Algeria",1992,1.80000230116706
"Micronesia, Fed. Sts.",1998,
"Iceland",1981,4.2650071053034
"Uruguay",1993,2.65754610296555
"Gabon",2011,
"Serbia",1966,4.99271403145116
"Bermuda",1974,0.877192982458979
"Kyrgyz Republic",1966,-13.8887088060508
"Philippines",1969,4.65635857843871
"Philippines",1959,
"Bosnia and Herzegovina",1969,4.00000006535353
"Morocco",1999,3.29163968433596
"Brazil",2004,5.76088072597591
"Eritrea",1978,2.19419054483319
"Bosnia and Herzegovina",1971,8.75823037470897
"Kenya",1989,4.69034876812297
"Sint Maarten (Dutch part)",2000,
"Turkmenistan",1971,7.10000034386493
"Solomon Islands",1976,6.94664999831065
"Azerbaijan",2015,
"Oman",1952,
"Guam",1958,
"Bolivia",1958,
"Grenada",2009,
"Lesotho",1979,2.89391888500808
"Uganda",1977,8.05394837659495
"Brunei Darussalam",2015,
"Sudan",1963,-2.84697167991409
"Sint Maarten (Dutch part)",2012,
"Slovak Republic",1986,
"Canada",1982,-3.20202483862428
"Nepal",1956,
"Jordan",2015,
"Equatorial Guinea",1957,
"Equatorial Guinea",1999,
"Honduras",1950,
"Barbados",1993,
"Venezuela, RB",2006,9.87214910851037
"Nicaragua",1997,3.96665097334412
"Virgin Islands (U.S.)",2001,
"Tanzania",1986,
"Lithuania",1957,
"Nepal",2008,6.1046391423169
"Cameroon",1960,
"Sierra Leone",2005,4.33248439494011
"Bermuda",1989,0.443844075644776
"Mali",1956,
"Swaziland",2008,
"Syrian Arab Republic",2004,6.90000000448447
"Ukraine",1981,2.2999999856879
"Venezuela, RB",1993,0.275388067235681
"Niger",2016,
"Cabo Verde",1996,
"Suriname",1955,
"Swaziland",1958,
"Azerbaijan",1989,
"Haiti",2008,
"Bahamas, The",2001,2.62562712099302
"Liechtenstein",2015,
"Finland",1976,0.344382966187197
"Benin",1969,2.87749797610755
"Syrian Arab Republic",1960,
"Armenia",2014,
"Maldives",2003,
"Dominican Republic",1985,-2.12253497758633
"Korea, Dem. People’s Rep.",1953,
"Philippines",1970,3.7646048586699
"Sudan",1993,4.56874918954713
"Cabo Verde",1974,19.182641817248
"Estonia",2015,
"St. Martin (French part)",1983,
"Peru",1994,12.3081286668764
"Nicaragua",2002,0.753938940955962
"Cyprus",1953,
"Tajikistan",1980,6.69999999999817
"Congo, Rep.",1966,1.35898246236125
"Kenya",1960,
"Mongolia",2001,
"Ghana",2002,4.49999969929409
"Samoa",1957,
"Somalia",1989,-0.175911817690633
"Lesotho",1976,11.0491294349282
"Netherlands",1960,
"Romania",1967,-4.81614691797678
"France",2015,
"Slovenia",1995,
"United Kingdom",2006,2.66182255294851
"New Zealand",1973,0.13648455016812
"South Africa",2006,5.58504596151144
"Guinea-Bissau",1959,
"Ukraine",1962,3.87310321070633
"Maldives",1990,
"Fiji",1986,7.74990670071477
"Bosnia and Herzegovina",1985,
"Ukraine",2012,
"Venezuela, RB",1989,-8.56988188175153
"Aruba",1982,
"Luxembourg",1989,9.79806141780432
"Hungary",1971,4.48083868501303
"Singapore",1954,
"Lao PDR",1965,14.1906366294394
"Denmark",2004,2.63895105108132
"Bhutan",1961,13.9077290356395
"Timor-Leste",1953,
"Bolivia",2009,3.35700125894111
"Kazakhstan",1989,
"Greenland",1971,0.665280665280108
"Iceland",1964,9.91654401442996
"Bulgaria",1989,-4.21972706220618
"Venezuela, RB",1991,9.72988794112702
"Georgia",1951,
"San Marino",1969,5.95927135469371
"Senegal",1969,-6.55414292112025
"Belize",2003,9.3292487028497
"Zimbabwe",1998,2.88521191729652
"Congo, Rep.",1961,8.35072672433139
"Armenia",1987,
"Barbados",1953,
"Lebanon",2015,
"Aruba",1996,
"Denmark",1990,1.60744363120332
"Qatar",1980,
"Russian Federation",1969,-5.29999999878164
"Belarus",2003,
"Djibouti",1992,
"Rwanda",1971,1.20664070371599
"Cabo Verde",2005,
"Macedonia, FYR",1960,
"Angola",2012,
"Papua New Guinea",2013,
"Kosovo",2008,
"Bosnia and Herzegovina",1980,
"Georgia",1958,
"Bhutan",1954,
"Ecuador",2013,
"Channel Islands",1998,
"Burkina Faso",1954,
"Russian Federation",2006,
"St. Vincent and the Grenadines",1989,1.40507514251047
"Yemen, Rep.",2000,
"Seychelles",1977,-6.19022681347263
"Belize",1970,4.80769336382932
"Haiti",1963,-1.04269731334196
"Solomon Islands",1975,5.42119323241317
"Ghana",2008,9.14979909377527
"Gabon",1994,3.71275484108966
"Bulgaria",1953,
"Greece",2010,-5.4790371077553
"Channel Islands",1961,3.77026367469688
"Hong Kong SAR, China",1974,11.5567704265685
"Benin",1977,4.98366372080636
"Greenland",1975,3.65638766519763
"Togo",1969,10.8308683446958
"Botswana",1982,12.1655318567871
"Chile",1963,6.11656483558609
"Channel Islands",1997,
"Niger",1961,4.54639303650009
"Syrian Arab Republic",1991,7.90127069844895
"Kosovo",1963,5.98014559550313
"United States",2016,
"Philippines",1994,4.38762334121967
"Croatia",1975,-1.7012497631566
"Uganda",1961,5.74455770869579
"Malta",1980,6.29139072190144
"Brazil",2006,3.96050202907196
"Djibouti",1969,2.17900617827154
"Kyrgyz Republic",2014,
"Latvia",1998,
"Bulgaria",2016,
"Liberia",1957,
"Italy",2008,-1.05040528428572
"Mongolia",1971,-9.25646570577486
"Czech Republic",1979,-4.84178529599535
"Mozambique",1950,
"Papua New Guinea",1952,
"Iran, Islamic Rep.",2014,
"Kuwait",1981,8.56523349530679
"United Arab Emirates",1973,-2.61890771950277
"Yemen, Rep.",1995,
"Mexico",2007,3.20412301672219
"Gambia, The",1994,5.50000017414997
"Belgium",1988,4.72320891974978
"Saudi Arabia",1998,5.57674743458874
"Suriname",1973,8.7723865017924
"Cote d'Ivoire",1984,-2.70126143422046
"Iceland",1981,4.2650071053034
"Nigeria",2008,6.27026369732737
"Ecuador",1968,1.90943839921289
"Sao Tome and Principe",1966,9.11564654457058
"Lebanon",1970,3.59264329896907
"Kyrgyz Republic",1994,
"Niger",1986,6.360026804646
"Iran, Islamic Rep.",2003,8.63929839720177
"Kiribati",1974,-1.22223168117387
"San Marino",1980,2.05295236211316
"Iraq",1994,-6.90018022341792
"Ireland",2008,
"Faroe Islands",2006,
"Solomon Islands",2003,
"Puerto Rico",1977,5.95068036592356
"Guinea",2006,
"Algeria",1989,4.40000215933378
"Norway",1968,2.25987552819265
"Tonga",1969,-2.04409143450822
"Cameroon",1995,4.12837094487625
"United States",1969,3.10000000000004
"Chile",2003,3.95674848137743
"Rwanda",1971,1.20664070371599
"Egypt, Arab Rep.",1985,5.70175329267964
"Thailand",2007,5.43509256989793
"Greece",1951,
"Congo, Rep.",1995,3.98532437806188
"Benin",2007,5.98651552196785
"Korea, Dem. People’s Rep.",1971,
"United Kingdom",1974,-2.52094626852853
"Yemen, Rep.",1977,3.33842794633748
"Bermuda",1951,
"Afghanistan",2003,
"Sint Maarten (Dutch part)",1956,
"Niger",1951,
"Ethiopia",1993,
"Iceland",1975,0.64615508034376
"Benin",1994,2.02040044541816
"Trinidad and Tobago",1994,3.56590088312949
"Iraq",1983,-64.0471069734517
"Rwanda",1967,6.91601749952318
"Uzbekistan",2014,
"Ukraine",1981,2.2999999856879
"Burkina Faso",1998,7.30771963314496
"Guyana",1963,-12.2786572606378
"Niger",1970,3.05577892215352
"Mozambique",1990,6.68773184937513
"Pakistan",1963,8.68883151825305
"Ukraine",1968,-12.2000000174838
"United Kingdom",2003,3.33666457132125
"Sweden",2003,2.38574023559717
"Japan",1985,6.3333568887326
"Guinea",1961,3.29993884547572
"Niger",2013,
"Slovak Republic",1967,-0.205071462445545
"Tajikistan",1997,
"Thailand",1970,11.4079490662097
"Jamaica",1955,
"Moldova",2003,
"Colombia",1950,
"Solomon Islands",2001,
"Singapore",1992,7.08760094518976
"Syrian Arab Republic",1963,-8.65274667220763
"Channel Islands",1983,
"West Bank and Gaza",2001,
"Benin",1956,
"Italy",1986,2.85997188432248
"Vanuatu",2012,
"Cabo Verde",1991,
"Gabon",1960,
"Guinea-Bissau",1959,
"Bermuda",1971,3.43749999999838
"Nicaragua",1978,-7.83880037488329
"Botswana",2009,-7.65231020253476
"Cote d'Ivoire",1968,12.5482486400079
"Ethiopia",1950,
"Cambodia",2014,
"Montenegro",1998,
"Nigeria",2006,8.2109648588917
"Sierra Leone",1998,1.78501428129722
"Netherlands",1972,3.53387451911522
"United Kingdom",2010,1.54017665028898
"Greenland",2001,
"Thailand",1998,-7.63373363126698
"Kuwait",1986,8.43616576788146
"Bermuda",2014,
"Iraq",1968,17.1751037343124
"Mali",1952,
"Barbados",1953,
"Greece",1961,11.1495373965282
"Bahrain",1959,
"Guinea",2004,
"Korea, Rep.",1963,9.53172102567139
"Kiribati",1987,5.57056609488174
"Myanmar",1960,
"Ireland",1976,-0.428330463817247
"Armenia",1981,
"Niger",1973,-17.0475835709582
"Switzerland",1981,1.44659480163966
"Tonga",2000,
"Latvia",1971,11.9021914784113
"Lebanon",1990,
"Croatia",1955,
"Mauritania",1980,3.3712102197476
"Sudan",1975,15.7134664496094
"Mauritania",1979,4.79003983690438
"St. Martin (French part)",1997,
"Tajikistan",1963,13.900000000001
"Uganda",1972,6.40363574324063
"Jamaica",2004,-1.4889441848233
"Gabon",1974,39.4870951788449
"Hungary",2001,
"Finland",1979,7.12192639417022
"Bulgaria",1992,
"United Arab Emirates",1996,
"Costa Rica",2012,
"West Bank and Gaza",1993,
"Swaziland",2005,
"Netherlands",1997,4.29986742885117
"Korea, Dem. People’s Rep.",1982,
"South Africa",1958,
"Bahamas, The",1977,9.15492921913146
"Costa Rica",1991,2.57191997527009
"Virgin Islands (U.S.)",1968,3.45279254079254
"Finland",2009,-8.26903655827105
"Equatorial Guinea",1993,
"Lao PDR",1982,8.61926620854456
"South Sudan",2014,
"Congo, Rep.",1969,7.54852519394957
"Tanzania",2006,
"Afghanistan",2013,
"Papua New Guinea",2011,
"Malaysia",1976,11.5638362031513
"Italy",2008,-1.05040528428572
"Iraq",1977,1.4538962628547
"Benin",1957,
"Thailand",1975,4.97040522766497
"Ethiopia",2008,
"Switzerland",1971,-0.915816579602946
"Ethiopia",2002,
"Somalia",1950,
"Poland",1981,
"Belize",1995,0.643973577629382
"Paraguay",1975,6.85244471391262
"Cabo Verde",1953,
"Nicaragua",1958,
"Romania",1964,3.93194272962506
"Kuwait",1960,
"Central African Republic",2001,4.46478264871355
"Brazil",1964,3.48558230427724
"Dominican Republic",1955,
"Zimbabwe",1975,-1.93122323880064
"Slovak Republic",1951,
"Mauritania",2008,1.07996716687546
"Japan",1952,
"Kosovo",1990,
"San Marino",1986,4.8582996980987
"Estonia",1956,
"Yemen, Rep.",1999,
"Somalia",1988,-0.553269928180583
"Thailand",2004,6.28928854861901
"France",2010,1.96565737478667
"New Zealand",2007,
"Nigeria",1988,7.54252202521538
"Luxembourg",2014,
"China",1951,
"Austria",1961,5.53797931684524
"Belarus",2015,
"French Polynesia",1966,12.0024086435434
"Georgia",1977,2.00153854146565
